District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP,Rank,County,Per capita income,Median household income,Median family income,Households,Population
East Bridgewater,830000,MATH,384,40,40,4,344,36,480,50,91,10,955,99,496,45,765,142,Plymouth,49445,110842,128039,4949,14393
Wareham,3100000,MATH,221,24,22,2,199,21,521,56,190,20,932,99,488,55,687,194,Plymouth,45409,96672,110265,10280,23149
Newburyport,2040000,MATH,436,47,43,5,393,43,392,43,94,10,922,99,498,49,705,62,Essex,61696,153971,189419,7537,18282
Bellingham,250000,MATH,289,32,31,3,258,29,448,50,160,18,897,99,491,44,705,203,Norfolk,44845,109042,122554,6250,16934
Webster,3160000,MATH,168,19,11,1,157,18,452,51,270,30,890,99,482,45,648,137,Worcester,53208,114916,144255,6384,17776
Swampscott,2910000,MATH,412,46,69,8,343,39,390,44,87,10,889,99,499,50,703,72,Essex,63595,114086,143320,6093,15043
Northbridge,2140000,MATH,305,35,31,4,274,31,414,48,152,17,871,98,491,49,680,224,Worcester,43333,97206,116343,6364,16291
Weston,3300000,MATH,632,74,219,26,413,48,201,23,24,3,857,99,515,49,663,2,Middlesex,107793,220815,250000,3731,11806
Winthrop,3460000,MATH,344,41,38,4,306,36,377,45,124,15,845,100,495,59,634,286,Suffolk,37560,95682,141198,8539,19088
Monomoy Regional School District,7120000,MATH,403,48,54,6,349,41,348,41,93,11,844,98,498,49,655,,,,,,,
